Страна;Россия;Франция;Республика Корея;Испания;Швейцария;Италия;Турция;Израиль;Швеция;Нидерланды
Россия;1;0.5;0.3;0.4;0.3;0.5;0.6;0.3;0.2;0.3
Франция;0.5;1;0.2;0.6;0.8;0.5;0.3;0.2;0.5;0.5
Республика Корея;0.3;0.2;1;0.2;0.2;0.3;0.4;0.1;0.2;0.2
Испания;0.4;0.6;0.2;1;0.5;0.9;0.4;0.4;0.5;0.6
Швейцария;0.3;0.8;0.2;0.5;1;0.5;0.2;0.2;0.3;0.4
Италия;0.5;0.5;0.3;0.9;0.5;1;0.3;0.2;0.5;0.6
Турция;0.6;0.3;0.4;0.4;0.2;0.3;1;0.1;0.2;0.3
Израиль;0.3;0.2;0.1;0.4;0.2;0.2;0.1;1;0.3;0.2
Швеция;0.2;0.5;0.2;0.5;0.3;0.5;0.2;0.3;1;0.7
Нидерланды;0.3;0.5;0.2;0.6;0.4;0.6;0.3;0.2;0.7;1
